text,label,label_text,global_label,task_id
do they take reservations at buffalo wild wings,9,accept_reservations,0,0
find out if la tour d'argent in paris takes reservations,9,accept_reservations,0,0
does hannahs in galloway take reservations,9,accept_reservations,0,0
does buffalo wild wings do reservations,9,accept_reservations,0,0
does gramercy tavern accept reservations,9,accept_reservations,0,0
does luigi's take reservations,9,accept_reservations,0,0
are reservations taken at redrobin,9,accept_reservations,0,0
do they take reservations at applebees,9,accept_reservations,0,0
do they take reservations at outback steakhouse,9,accept_reservations,0,0
please find out if napolis takes lunch reservations,9,accept_reservations,0,0
does pizzeria delfina in san francisco take reservations,9,accept_reservations,0,0
can i make a reservation for redrobin,9,accept_reservations,0,0
does nopa in san francisco take reservations,9,accept_reservations,0,0
does redrobin take reservations,9,accept_reservations,0,0
can applebees take any reservations,9,accept_reservations,0,0
does ruby tuesday accept reservations,9,accept_reservations,0,0
do they take reservations at red robin,9,accept_reservations,0,0
does cielo take reservations,9,accept_reservations,0,0
does stanleys take brunch reservations,9,accept_reservations,0,0
does michael's accept reservations,9,accept_reservations,0,0
could you set one alarm for 8am saturday and one for 9am sunday,83,alarm,2,4
please create a new alarm for me,83,alarm,2,4
wake me up at noon tomorrow,83,alarm,2,4
i want an alarm to go off at 9 am,83,alarm,2,4
please set an alarm for 2 pm for me,83,alarm,2,4
initiate a new alarm please,83,alarm,2,4
please turn on the alarm,83,alarm,2,4
i want to make an alarm,83,alarm,2,4
set alarm for 6am,83,alarm,2,4
i want an alarm set up,83,alarm,2,4
tomorrow i need an alarm at 7 tomorrow,83,alarm,2,4
set up two alarms one for 10am and another for 2pm,83,alarm,2,4
create an alarm for 6am,83,alarm,2,4
provide assistance by setting an alarm at 8:00 and another for 11:00,83,alarm,2,4
make an alarm for me,83,alarm,2,4
set the alarm to go off at 9 tomorrow,83,alarm,2,4
set my alarm for 5pm,83,alarm,2,4
put in an alarm for 5pm,83,alarm,2,4
assist me by setting my alarm for 9:00 and another for 11:00,83,alarm,2,4
i need an alarm set,83,alarm,2,4
what is the status of my new credit card application,103,application_status,3,1
i want to know if my application for a credit card at community bank has been approved or not,103,application_status,3,1
when will my credit card app be approved,103,application_status,3,1
do i have any updates about my credit card application,103,application_status,3,1
have you heard anything back on my cc application,103,application_status,3,1
"can you find out the latest on my credit card application, i haven't heard an update in some time",103,application_status,3,1
did the application i put in for a mastercard go through yet,103,application_status,3,1
where can i go to see if my credit card application has been processed,103,application_status,3,1
i want to know if my credit card application has been processed yet,103,application_status,3,1
has the application for my american express been processed yet,103,application_status,3,1
my credit card application status,103,application_status,3,1
tell me the status of my credit card application,103,application_status,3,1
"i put in a credit card application, so what is the status with it currently",103,application_status,3,1
