text,label,label_text,global_label,task_id
are reservations allowed at burger king,9,accept_reservations,0,0
how many culver's take reservations,9,accept_reservations,0,0
is there evening reservations available in the eve,9,accept_reservations,0,0
do they take reservations at bar tartine,9,accept_reservations,0,0
does ruby tuesday accept reservations,9,accept_reservations,0,0
"i put in a credit card application, so what is the status with it currently",103,application_status,3,1
look into the status of the credit card application i submitted recently for my new card,103,application_status,3,1
i filed a credit card application so what is going on with it,103,application_status,3,1
do you know if my amex card app went through,103,application_status,3,1
what is the status of the application for a credit card i put in,103,application_status,3,1
is the apr on my credit card good,132,apr,4,3
how good is the apr on my credit card,132,apr,4,3
what will the apr on my transferred balance be after the first year on my bank of america credit card,132,apr,4,3
it would be great if you could tell me my credit card's apr,132,apr,4,3
how good is card apr,132,apr,4,3
can i cancel my reservations please,67,cancel_reservation,16,2
"cancel my reservation for dinner, please",67,cancel_reservation,16,2
scrap that dinner reservation,67,cancel_reservation,16,2
please cancel the table i had reserved for tonight,67,cancel_reservation,16,2
the reservation i have isn't needed any more,67,cancel_reservation,16,2
i want to reserve a convertible from july 2nd through july 18th for los angeles,40,car_rental,17,3
i'd like to rent a vehicle from nov 1st to nov 15th in san antonio and i need a 15 passenger van,40,car_rental,17,3
find out if i can rent a car in los angeles from march 2-9,40,car_rental,17,3
please look up if i can rent a car in houston from march 25 to march 29,40,car_rental,17,3
i'll need a rental car from 3/3 - 3/14 in vegas,40,car_rental,17,3
i wonder why my card got declined yesterday,49,card_declined,18,1
let me know why my card got declined,49,card_declined,18,1
how do i fix my card being declined,49,card_declined,18,1
please tell me why did my card not get accepted,49,card_declined,18,1
explain why was my card declined at boston market,49,card_declined,18,1
raise the volume to 4 please,150,change_volume,25,3
please set the volume to 4,150,change_volume,25,3
volume should be set at 4,150,change_volume,25,3
set the volume to 4 now,150,change_volume,25,3
would you please increase your speaker volume,150,change_volume,25,3
what is my credit score,69,credit_score,30,1
will you tell me my credit score,69,credit_score,30,1
what in the world is my credit rating,69,credit_score,30,1
can you figure out how to find my credit score,69,credit_score,30,1
tell me my credit score please,69,credit_score,30,1
"my card got melted in the dryer and i need to report it, please",87,damaged_card,32,1
how do i report my card if it got cut in half,87,damaged_card,32,1
"i can not use my card, it is damaged",87,damaged_card,32,1
"my card split in half, how do i report it",87,damaged_card,32,1
report that the card has been wrecked,87,damaged_card,32,1
"i'm at home, so where is the closest starbucks",72,directions,36,3
what's the distance between home and the closest starbucks,72,directions,36,3
is it possible to take the bus to the brooklyn bridge,72,directions,36,3
please tell me the subway station nearest to madison square garden in new york,72,directions,36,3
i want to know how to get to statue of liberty by bus,72,directions,36,3
why types of animals do you currently have as pets,34,do_you_have_pets,38,0
let me know if you are a cat or dog person,34,do_you_have_pets,38,0
i need to know whether you are a cat or dog person,34,do_you_have_pets,38,0
tell me what kinds of pets you have,34,do_you_have_pets,38,0
what are your pets,34,do_you_have_pets,38,0
how much is 500 dollars in pesos,38,exchange_rate,39,0
how much dollars do i receive if i trade in 6 yens,38,exchange_rate,39,0
how many pesos in one dollar us,38,exchange_rate,39,0
exchange rate between mexico and us,38,exchange_rate,39,0
what is the exchange rate for canadian dollars to us dollars,38,exchange_rate,39,0
what date does my capital one card expire,44,expiration_date,40,0
what's the month that my card expires,44,expiration_date,40,0
my card expires in what month,44,expiration_date,40,0
please find out the expiration date for my credit card,44,expiration_date,40,0
when is my card going to expire,44,expiration_date,40,0
when's my flight boarding,80,flight_status,42,2
whats my delta flight's status,80,flight_status,42,2
will my delta flight leave on time,80,flight_status,42,2
at what time will my flight land,80,flight_status,42,2
can you tell me what time this flight is going to land,80,flight_status,42,2
"syonara, ai device!",114,goodbye,49,3
"goodbye, helpful ai device!",114,goodbye,49,3
it was really nice to be able to chat with you,114,goodbye,49,3
bye!,114,goodbye,49,3
it was good chatting,114,goodbye,49,3
do you know how long of a wait it will be,102,how_busy,51,3
how long is the restaurant line before we go,102,how_busy,51,3
how long is the wait at macaroni grill,102,how_busy,51,3
how busy will chili's be if i go at 6 pm,102,how_busy,51,3
"at four, how much business does georgio have",102,how_busy,51,3
how can i improve my credit score,28,improve_credit_score,53,1
what factors can ruin a credit score,28,improve_credit_score,53,1
how to keep my credit from dropping,28,improve_credit_score,53,1
what can i do to raise my credit score,28,improve_credit_score,53,1
my credit is going down what should i do,28,improve_credit_score,53,1
what are my chase cards fees for international transactions,137,international_fees,60,2
are transaction fees charged for my aaa card in canada,137,international_fees,60,2
tell me if there is any transaction fee using royal card in europe,137,international_fees,60,2
what kind of international transaction fees are related to my amex,137,international_fees,60,2
will i be charged if i use my card in detroit,137,international_fees,60,2
do i need an international visa to go to england,59,international_visa,61,0
i am going to germany soon do i need a visa,59,international_visa,61,0
do i need a travel visa to visit japan,59,international_visa,61,0
do i need a visa to leave the country,59,international_visa,61,0
i'm vacationing in israel will i need a visa,59,international_visa,61,0
look up the date of my last oil change,37,last_maintenance,63,0
when was my car last worked on,37,last_maintenance,63,0
"i can't remember when my car last went to the shop, can you find out for me",37,last_maintenance,63,0
how long ago did my car get looked at,37,last_maintenance,63,0
when was the last time my car was in the shop,37,last_maintenance,63,0
locate lost luggage from flight america airlines in o'hare,113,lost_luggage,64,3
on flight america airlines in o'hare lost luggage,113,lost_luggage,64,3
