text,label,label_text,global_label,task_id
can i make a reservation for redrobin,9,accept_reservations,0,0
how many culver's take reservations,9,accept_reservations,0,0
do they take reservations at bar tartine,9,accept_reservations,0,0
does ruby tuesday accept reservations,9,accept_reservations,0,0
do they take reservations at olive garden,9,accept_reservations,0,0
does burger king accept reservations,9,accept_reservations,0,0
does iron skillet at the truck stop trake reservations,9,accept_reservations,0,0
is there evening reservations available in the eve,9,accept_reservations,0,0
can you tell me if zeus does reservations,9,accept_reservations,0,0
are reservations allowed at burger king,9,accept_reservations,0,0
what is the reason i am locked out of my bank account,2,account_blocked,1,8
can you find out what triggered a hold on my bank account,2,account_blocked,1,8
why does my credit union account have a hold on it,2,account_blocked,1,8
why would i have been locked out of my own account,2,account_blocked,1,8
find out the reason why am i locked out of my bank account,2,account_blocked,1,8
do you know why the bank put a hold on my joint checking account,2,account_blocked,1,8
why is my account locked,2,account_blocked,1,8
what's with the block on my bank account,2,account_blocked,1,8
can i talk to someone about why there is a hold on my checking account,2,account_blocked,1,8
what would cause me to be locked out of my bank account,2,account_blocked,1,8
set an alarm for 5 pm,83,alarm,2,4
please set up an alarm to go off tomorrow at daybreak,83,alarm,2,4
help me get up at eight thirty in the morning tomorrow,83,alarm,2,4
create an alarm for 6am,83,alarm,2,4
set a 5 am alarm please,83,alarm,2,4
could you set one alarm for 8am saturday and one for 9am sunday,83,alarm,2,4
i need alarms set for 6am and 615am,83,alarm,2,4
make a new alarm for 6 in the morning,83,alarm,2,4
"please set two alarms, one at 12 pm and the next at 1 pm",83,alarm,2,4
please turn on the alarm,83,alarm,2,4
do you know if my amex card app went through,103,application_status,3,1
what is the status of my application for the credit card,103,application_status,3,1
look into the status of the credit card application i submitted recently for my new card,103,application_status,3,1
has anyone looked at my mastercard application,103,application_status,3,1
"i put in a credit card application, so what is the status with it currently",103,application_status,3,1
what is the status of the application for a credit card i put in,103,application_status,3,1
i want to be updated on the most recent status of my credit card application,103,application_status,3,1
i filed a credit card application so what is going on with it,103,application_status,3,1
tell me about my american express application; did it go through,103,application_status,3,1
have i received any messages about my credit card application,103,application_status,3,1
can you give me an appraisal of my card's apr,132,apr,4,3
is the apr on my credit card good,132,apr,4,3
how good is card apr,132,apr,4,3
tell me my credit card's annual percentage rate,132,apr,4,3
do i have a good apr on my credit card,132,apr,4,3
it would be great if you could tell me my credit card's apr,132,apr,4,3
what will the apr on my transferred balance be after the first year on my bank of america credit card,132,apr,4,3
is my apr for my credit card available,132,apr,4,3
what's the apr of my discover card,132,apr,4,3
how good is the apr on my credit card,132,apr,4,3
are you actually a bot,117,are_you_a_bot,5,7
how do i know if you are a real person,117,are_you_a_bot,5,7
are you human or a bot,117,are_you_a_bot,5,7
are you a real human being,117,are_you_a_bot,5,7
are an an ai,117,are_you_a_bot,5,7
i need to know if you are a real person or an ai,117,are_you_a_bot,5,7
so are you real,117,are_you_a_bot,5,7
so are you a real person,117,are_you_a_bot,5,7
tell me now if you are a bot,117,are_you_a_bot,5,7
are you real or not,117,are_you_a_bot,5,7
how much money do i have in all of my accounts,35,balance,6,9
do i have enough money in my chase account for a new refrigerator,35,balance,6,9
what is in my bank accounts,35,balance,6,9
please tell me my bank balance,35,balance,6,9
what is the balance of my bank of american account,35,balance,6,9
how much funds do i have in my bank accounts,35,balance,6,9
i wanna know the balance of my bank of american account,35,balance,6,9
what's my savings balance at chase,35,balance,6,9
i need to know my bank balance,35,balance,6,9
what's the total of my bank accounts,35,balance,6,9
do i owe any bills,27,bill_balance,7,9
please find the current balance on my con edison bill,27,bill_balance,7,9
how much do i owe in bills,27,bill_balance,7,9
how much is my cable bill,27,bill_balance,7,9
what's my mortgage payment going to be this month,27,bill_balance,7,9
how much money do i need to spend on bill payments,27,bill_balance,7,9
how much are utilities,27,bill_balance,7,9
my water and electricity bill is how much,27,bill_balance,7,9
what do i owe on the car this month,27,bill_balance,7,9
what's the total i owe on all my bills,27,bill_balance,7,9
how do i check when my mortgage is next up for payment,56,bill_due,8,9
on what day do i have to pay my nordstrom bill,56,bill_due,8,9
when's the next phone bill,56,bill_due,8,9
what date is my at&t bill due,56,bill_due,8,9
what do i do to check when my next credit card payment is,56,bill_due,8,9
what is the due date of my att bill,56,bill_due,8,9
what is the due date of my at&t bill,56,bill_due,8,9
do i pay my rent this week,56,bill_due,8,9
when do i need to pay my at&t bill,56,bill_due,8,9
do you know when my next electric bill is due,56,bill_due,8,9
purchase a flight from boise to sacramento on sunday and returning on wednesday,63,book_flight,9,4
could you make a flight reservation with air emirates from orlando to london,63,book_flight,9,4
get me a flight for tuesday on spiritcom to las vegas from chicago,63,book_flight,9,4
find me a roundtrip flight from dallas to los angeles from march 2 to march 10,63,book_flight,9,4
book delta ticket madison to atlanta,63,book_flight,9,4
"can you find me a flight from portland, oregon to portland, maine for under $500 on delta",63,book_flight,9,4
i'm looking for a roundtrip flight from fwa to hsv for march first to march fifth,63,book_flight,9,4
book a flight from chicago to dc on monday and returning on wednesday,63,book_flight,9,4
i would like to know what flights are available out of el paso to dallas on june 10 for under $300,63,book_flight,9,4
i'd like a flight from laguardia to orlando on southwest for under $400,63,book_flight,9,4
i'm inquiring about the availability of a room that fits 10 people from monday to tuesday in manhattan,116,book_hotel,10,6
i would like to reserve a hotel room that accomodates 10 people from monday to tuesday in manhattan,116,book_hotel,10,6
i need a room in london for 2 people from march 1st to 3rd,116,book_hotel,10,6
find me a hotel in kansas city with good reviews,116,book_hotel,10,6
i want to book a hotel room for 10 people from monday to tuesday in manhattan,116,book_hotel,10,6
please help me book a place to stay in pittsburgh from monday to friday,116,book_hotel,10,6
i need a hotel in new orleans with awesome reviews,116,book_hotel,10,6
do you know of any well reviewed hotels in chicago,116,book_hotel,10,6
book me a hotel in pittsburgh near grant street for 3/15 through 3/18,116,book_hotel,10,6
"please find a columbus, ohio hotel with good reviews",116,book_hotel,10,6
what is 2+2,138,calculator,11,7
what's ten times eight,138,calculator,11,7
what is 250 times 118 times 9,138,calculator,11,7
can you help me do math,138,calculator,11,7
what is 38% of 389209,138,calculator,11,7
please add 456 and 781 for me,138,calculator,11,7
what is 10 + 20,138,calculator,11,7
how to solve this math problem,138,calculator,11,7
what is 2 + 2,138,calculator,11,7
what is the square root of 66,138,calculator,11,7
do i have anything on my calendar for march 2nd,60,calendar,12,7
do i have anything on my calendar for may 3,60,calendar,12,7
i must know what is currently on my calendar for friday the 1st,60,calendar,12,7
what do i have planned on 3/15,60,calendar,12,7
"the 21st, what is on my calendar",60,calendar,12,7
what is there on january 1st on my calendar,60,calendar,12,7
what do i have going on march 2nd on my calendar,60,calendar,12,7
show me my calendar for next sunday,60,calendar,12,7
what do i have scheduled on march 2nd on my calendar,60,calendar,12,7
what's on the calendar for march 4th,60,calendar,12,7
remove anniversary dinner from my calendar on april 5,105,calendar_update,13,7
remove from calendar jesse's bbq on june 9th,105,calendar_update,13,7
clear my calendar for tomorrow,105,calendar_update,13,7
i got to remove fishing from my calendar for soccer,105,calendar_update,13,7
remember to put down that i have an appointment for tomorrow on my calendar,105,calendar_update,13,7
add a vet appointment for 5 pm on saturday,105,calendar_update,13,7
please clear entries on my calendar for the 1st,105,calendar_update,13,7
i want you to cancel the event called 'bachelorette party' on april 15,105,calendar_update,13,7
clear my calendar for the date of june 23,105,calendar_update,13,7
add my doctor appointment on march 25th at 3:00 to my calendar,105,calendar_update,13,7
i need to know the number of calories on average in a handful of pistachios,135,calories,14,4
what's the caloric content if you eat roast beef,135,calories,14,4
how many calories on average are in a hot dog,135,calories,14,4
one cup of almonds has how many calories,135,calories,14,4
how many calories are in cookies,135,calories,14,4
how many calories would i consume if i ate a loaded hotdog,135,calories,14,4
how many calories are in chocolate cake,135,calories,14,4
how many calories does a scoop of chocolate ice cream have,135,calories,14,4
i need to know the calorie count of a bacon cheeseburger,135,calories,14,4
do cheetos have a lot of calories,135,calories,14,4
mute,147,cancel,15,6
quit,147,cancel,15,6
stop and go back,147,cancel,15,6
forget it,147,cancel,15,6
pause,147,cancel,15,6
abort running program,147,cancel,15,6
cancel that input,147,cancel,15,6
"nevermind, cancel that",147,cancel,15,6
can you please cancel,147,cancel,15,6
please cancel that last task,147,cancel,15,6
cancel my dinner reservation please,67,cancel_reservation,16,2
please cancel the table i had reserved for tonight,67,cancel_reservation,16,2
please cancel my 7:30 reservation for morton's,67,cancel_reservation,16,2
i have a reservation at pizza hut under the name leia roberts and i want to cancel it,67,cancel_reservation,16,2
scrap that dinner reservation,67,cancel_reservation,16,2
can you cancel the reservation i have at 4 pm at ruth's,67,cancel_reservation,16,2
can i cancel my reservations please,67,cancel_reservation,16,2
the reservation i have isn't needed any more,67,cancel_reservation,16,2
tell the restaurant i cannot make it,67,cancel_reservation,16,2
"cancel my reservation for dinner, please",67,cancel_reservation,16,2
find me a rental car from 3/6 - 3/9 in port charles,40,car_rental,17,3
i want to reserve a convertible from july 2nd through july 18th for los angeles,40,car_rental,17,3
i'll need a rental car from 3/3 - 3/14 in vegas,40,car_rental,17,3
i'd like to rent an automobile in pittsburgh from this tuesday until next thursday can i do that,40,car_rental,17,3
"i want to rent the cheapest car for charlottesville, virginia for march 7th through 10th, that's monday, tuesday, wednesday and thursday",40,car_rental,17,3
please look up if i can rent a car in houston from march 25 to march 29,40,car_rental,17,3
find out if i can rent a car in los angeles from march 2-9,40,car_rental,17,3
can you help me with a rental car,40,car_rental,17,3
can you help me book a car rental in paris,40,car_rental,17,3
i'd like to rent a vehicle from nov 1st to nov 15th in san antonio and i need a 15 passenger van,40,car_rental,17,3
please tell me why did my card not get accepted,49,card_declined,18,1
"my card was declined at the store yesterday, what happened",49,card_declined,18,1
let me know why my card got declined,49,card_declined,18,1
where can i find out why my card was recently declined at amazoncom,49,card_declined,18,1
i wonder why my card got declined yesterday,49,card_declined,18,1
explain why was my card declined at boston market,49,card_declined,18,1
tell me why my card got declined,49,card_declined,18,1
how do i fix my card being declined,49,card_declined,18,1
i don't understand why walgreens declined my card,49,card_declined,18,1
"buying qtips today, my card got declined at walmart",49,card_declined,18,1
does jet blue have any carry-on restrictions,62,carry_on,19,7
what are my carry on options when flying american airlines to trenton,62,carry_on,19,7
i want to know the carry on policy for southwest,62,carry_on,19,7
how many carry ons can i take on a flight with jet blue to washington dc,62,carry_on,19,7
does united airlines allow more than one carry on,62,carry_on,19,7
how many carry ons will american let me take for a flight to los vegas,62,carry_on,19,7
how many carry-on items are allowed per passenger,62,carry_on,19,7
how many carry ons am i allowed to take on my canadair flight to frankfurt,62,carry_on,19,7
am i limited in carry ons for jet blue,62,carry_on,19,7
how strict is spirit when it comes to carry ons,62,carry_on,19,7
please use a male voice when speaking,51,change_accent,20,8
go ahead and change your accent to the male british one,51,change_accent,20,8
i would prefer to hear you speak like a british male,51,change_accent,20,8
use one of your male voices,51,change_accent,20,8
change to a male voice,51,change_accent,20,8
go to the female voice,51,change_accent,20,8
please use male voice,51,change_accent,20,8
switch to female voice,51,change_accent,20,8
i must switch to the male voice,51,change_accent,20,8
can you change your accent to the male british one,51,change_accent,20,8
"if i may, i'd like to call you slave",55,change_ai_name,21,4
will you answer if i call you lexi,55,change_ai_name,21,4
can i rename you,55,change_ai_name,21,4
please change the ai name,55,change_ai_name,21,4
can i change your name,55,change_ai_name,21,4
i would like you to think of yourself as machine and answer when i say your name as such,55,change_ai_name,21,4
what other names can i give you,55,change_ai_name,21,4
alter the name given to the ai,55,change_ai_name,21,4
can you go by a different name,55,change_ai_name,21,4
may i start referring to you as jeff,55,change_ai_name,21,4
i want you to speak in french,29,change_language,22,9
