text,label,label_text,global_label,task_id
can you make reservations at hodak's,9,accept_reservations,0,0
does bar tartine in san francisco take reservations,9,accept_reservations,0,0
do they take reservations at mcdonalds,9,accept_reservations,0,0
does ruby tuesday accept reservations,9,accept_reservations,0,0
does the restaurant michael's take reservations,9,accept_reservations,0,0
do you know if outback allows reservations,9,accept_reservations,0,0
i need to know if angelos takes reservations,9,accept_reservations,0,0
do they take reservations at bjs,9,accept_reservations,0,0
do they take reservations at mendy's,9,accept_reservations,0,0
do you know if bottlenecks takes dinner reservations,9,accept_reservations,0,0
do they take reservations at buffalo wild wings,9,accept_reservations,0,0
will they take reservations at torris,9,accept_reservations,0,0
do they accept reservations at michael's,9,accept_reservations,0,0
will they take reservations at chillis,9,accept_reservations,0,0
do they take reservations at state bird,9,accept_reservations,0,0
does tony's in downton let you make reservations,9,accept_reservations,0,0
does moes in la except rerservations,9,accept_reservations,0,0
will qdoba take reservations,9,accept_reservations,0,0
can i get a reservation at champs,9,accept_reservations,0,0
is there evening reservations available in the eve,9,accept_reservations,0,0
i want to make an alarm,83,alarm,2,4
set reminder for 2 pm,83,alarm,2,4
i need an alarm for 6am,83,alarm,2,4
please create a new alarm for me,83,alarm,2,4
create alarm,83,alarm,2,4
create an alarm,83,alarm,2,4
set an alarm for 5 pm,83,alarm,2,4
set an alarm to work out and another to go home,83,alarm,2,4
i need an alarm set for 5:30 pm,83,alarm,2,4
can you set an alarm for seven fifteen for tomorrow,83,alarm,2,4
schedule an alarm,83,alarm,2,4
would you set up an alarm for me,83,alarm,2,4
can you play an alarm at 5pm,83,alarm,2,4
i want an alarm to go off at 9 am,83,alarm,2,4
please turn on the alarm,83,alarm,2,4
i need you to set an alarm for 8am tomorrow,83,alarm,2,4
put in an alarm for 5pm,83,alarm,2,4
set up an alarm,83,alarm,2,4
i'd like a new alarm set for 6am,83,alarm,2,4
make a new alarm,83,alarm,2,4
will i be notified when my application has been processed,103,application_status,3,1
do you know if my amex card app went through,103,application_status,3,1
can you update me on the status of my american express card application,103,application_status,3,1
can you find out if my application at smith bank was approved or not  i applied for s credit card a month ago,103,application_status,3,1
my credit card application has what status,103,application_status,3,1
did my visa card app go through yet,103,application_status,3,1
is there any indication my application for a new credit card has been processed,103,application_status,3,1
do you know if anyone's even looked at the application i sent in for the new visa card,103,application_status,3,1
how much longer until my credit card application is checked,103,application_status,3,1
please find out the current status of my credit card application,103,application_status,3,1
is it likely my credit card application has processed yet,103,application_status,3,1
where can i find out the status of my credit card application,103,application_status,3,1
has there been any changes in the status of my credit card application,103,application_status,3,1
have you heard anything back on my cc application,103,application_status,3,1
find out for me if my amex card application was received,103,application_status,3,1
i'm desperate to know about my cc processing,103,application_status,3,1
can you check if my application for a discovery card has been looked over yet,103,application_status,3,1
i need to know what the latest is with my application for a visa credit card,103,application_status,3,1
was my application approved or not for a credit card at chase bank,103,application_status,3,1
i filed a credit card application so what is going on with it,103,application_status,3,1
tell me the current apr on my visa card from bbt,132,apr,4,3
i need to know the apr for my visa card,132,apr,4,3
what is the apr on my chase visa,132,apr,4,3
how good is card apr,132,apr,4,3
what apr does this credit card have,132,apr,4,3
"on my wells fargo mastercard, what is the current apr",132,apr,4,3
what is the apr on my american express card,132,apr,4,3
is the apr on my credit card good,132,apr,4,3
what is my apr for my credit card,132,apr,4,3
please say my credit card's apr,132,apr,4,3
i want to know my credit card apr,132,apr,4,3
"what's the apr on my visa card, please",132,apr,4,3
"i need to know on my citibank card, what is the apr",132,apr,4,3
tell me the apr on my mastercard,132,apr,4,3
"on my bank of america visa, what is the apr",132,apr,4,3
what is the apr on my barclay's card,132,apr,4,3
could you please tell me the apr for the credit card,132,apr,4,3
what is the credit card apr if you could fill me in,132,apr,4,3
what is the apr on my visa card,132,apr,4,3
tell me how good the apr is on my card please,132,apr,4,3
are you a bot right now,117,are_you_a_bot,5,7
are you real or fake,117,are_you_a_bot,5,7
are you an automated assistance,117,are_you_a_bot,5,7
are you a human being or a robot,117,are_you_a_bot,5,7
are you considered a bot,117,are_you_a_bot,5,7
tell me if you are a real person or an ai,117,are_you_a_bot,5,7
is there a way to tell if you are real or an ai,117,are_you_a_bot,5,7
are you human or a bot,117,are_you_a_bot,5,7
are you alive,117,are_you_a_bot,5,7
do you consider yourself a bot,117,are_you_a_bot,5,7
i want to know if you are a real person or an ai,117,are_you_a_bot,5,7
i need to know if you are a real person or an ai,117,are_you_a_bot,5,7
do you know whether you are a human or whether you're a computer,117,are_you_a_bot,5,7
how real are you,117,are_you_a_bot,5,7
